universe_uuid,universe_id
2257c848-571c-4300-98e7-d634dfc7952c,alltag
a382080b-f3e2-4584-ad44-ff05af206b3d,englisch
a968398f-0b1c-46ac-b42c-06fcefcc6269,checkst_du
bb72756c-cbbf-4389-b28b-d713fbc18190,essen
fe1e28dd-bc85-49fc-a7a6-ba0848f1f5d3,filme
6499d707-30f0-488f-ab26-2c9accebfaf0,fussball
fbb18e5f-0bd7-4669-bcc9-d37b1bcca646,geschichte
9fb8d8e6-e476-48bb-be37-7597d48fa0bc,mathe
fa7fd33c-6fcf-4c58-99ac-431b961d689d,memes
f135c867-3b62-496c-bbb3-674c5a528ebf,music
ac45ac45-e50a-4608-bf83-fe27949600f4,pokemon
c05fbe5f-2abf-4a05-8ccb-d3afe2b2d1ab,psychiatrie
4668ea46-f40a-451f-96be-8c11fb6dec65,spanisch
f3e41e80-d922-4a33-8541-0744fa8994e4,stvo
69de24ef-a927-43d5-bdfb-8c3304591a44,therapie
7cf20e04-b218-4cab-bfd4-015a243ccff9,tiere